platform,second,p95_ms,rps
Apache,95,125.3,5.0
Apache,96,128.9,5.0
Apache,97,128.5,5.0
Apache,98,127.1,5.0
Apache,99,124.9,5.0
Apache,100,130.8,5.0
Apache,101,125.0,5.0
Apache,102,123.9,5.0
Apache,103,132.9,5.0
Apache,104,128.7,5.0
Apache,105,137.9,5.0
Apache,106,137.0,5.0
Apache,107,125.3,5.0
Apache,108,135.7,5.0
Apache,109,129.2,5.0
Apache,110,132.0,5.0
Apache,111,122.5,5.0
Apache,112,125.9,5.0
Apache,113,140.4,5.0
Apache,114,139.0,5.0
Apache,115,119.4,5.0
Apache,116,130.3,5.0
Apache,117,114.3,5.0
Apache,118,126.8,5.0
Apache,119,151.3,5.0
Apache,120,136.7,5.0
Apache,121,125.7,5.0
Apache,122,130.2,5.0
Apache,123,149.9,5.0
Apache,124,152.2,5.0
Apache,125,121.9,5.0
Apache,126,126.2,5.0
Apache,127,136.1,5.0
Apache,128,129.7,5.0
Apache,129,44983.2,6.0
Apache,130,59908.4,7.0
Apache,131,59906.8,7.0
Apache,132,131.6,5.0
Apache,133,130.3,5.0
Apache,134,124.0,4.0
Apache,135,124.9,3.5
Apache,136,102.9,3.0
Apache,137,121.1,3.5
Apache,138,134.2,5.0
Apache,139,130.4,5.0
Apache,140,131.2,5.0
Apache,141,123.5,5.0
Apache,142,130.5,5.0
Apache,143,127.9,5.0
Apache,144,148.1,5.0
Apache,145,147.9,5.0
Apache,146,128.9,5.0
Apache,147,134.4,5.0
Apache,148,148.4,5.0
Apache,149,177.2,5.0
Apache,150,135.1,5.0
Apache,151,125.2,5.0
Apache,152,131.4,5.0
Apache,153,154.2,5.0
Apache,154,130.5,5.0
Apache,155,132.0,5.0
Apache,156,125.4,5.0
Apache,157,130.8,5.0
Apache,158,149.9,5.0
Apache,159,127.8,5.0
Apache,160,124.7,5.0
Apache,161,136.0,5.0
Apache,162,125.7,5.0
Apache,163,130.4,5.0
Apache,164,133.3,5.0
Apache,165,122.9,5.0
Apache,166,133.7,5.0
Apache,167,129.1,5.0
Apache,168,134.6,5.0
Apache,169,128.5,5.0
Apache,170,120.2,5.0
Apache,171,142.2,5.0
Apache,172,154.3,5.0
Apache,173,137.0,5.0
Apache,174,142.0,5.0
Apache,175,131.1,5.0
Apache,176,137.4,5.0
Apache,177,135.8,5.0
Apache,178,134.2,5.0
Apache,179,149.5,5.0
Apache,180,146.5,5.0
Apache,181,140.8,5.0
Apache,182,133.0,5.0
Apache,183,150.5,5.0
Apache,184,128.7,5.0
Apache,185,125.3,5.0
Apache,186,130.0,5.0
Apache,187,128.0,5.0
Apache,188,118.0,5.0
Apache,189,131.2,5.0
Apache,190,120.2,5.0
Apache,191,144.6,5.0
Apache,192,137.4,5.0
Apache,193,133.7,5.0
Apache,194,44957.3,6.0
Apache,195,59903.8,7.0
Apache,196,59906.8,7.0
Apache,197,44982.3,6.0
Apache,198,159.5,5.0
Apache,199,129.0,4.0
Apache,200,119.0,4.0
Apache,201,132.6,4.0
Apache,202,111.7,4.0
Apache,203,136.4,4.0
Apache,204,137.1,5.0
Apache,205,130.3,5.0
Apache,206,134.6,5.0
Apache,207,123.1,5.0
Apache,208,139.5,5.0
Apache,209,130.6,5.0
Apache,210,128.0,5.0
Apache,211,123.7,5.0
Apache,212,139.5,5.0
Apache,213,157.4,5.0
Apache,214,138.0,5.0
Apache,215,130.4,5.0
Apache,216,137.4,5.0
Apache,217,142.3,5.0
Apache,218,172.9,5.0
Apache,219,125.7,5.0
Apache,220,129.9,5.0
Apache,221,141.5,5.0
Apache,222,157.3,5.0
Apache,223,132.6,5.0
Apache,224,124.6,5.0
Apache,225,129.1,5.0
Apache,226,141.7,5.0
Apache,227,132.0,5.0
Apache,228,135.9,5.0
Apache,229,120.2,5.0
Apache,230,124.1,5.0
Apache,231,144.3,5.0
Apache,232,120.7,5.0
Apache,233,117.9,5.0
Apache,234,148.7,5.0
Apache,235,136.8,5.0
Apache,236,146.4,5.0
Apache,237,130.1,5.0
Apache,238,140.8,5.0
Apache,239,129.2,5.0
Apache,240,127.1,5.0
Apache,241,132.7,5.0
Apache,242,138.4,5.0
Apache,243,142.8,5.0
Apache,244,121.3,5.0
Apache,245,141.5,5.0
Apache,246,136.7,5.0
Apache,247,141.0,5.0
Apache,248,132.2,5.0
Apache,249,130.3,5.0
Apache,250,137.2,5.0
Apache,251,134.3,5.0
Apache,252,128.1,5.0
Apache,253,120.4,5.0
Apache,254,135.7,5.0
Apache,255,142.7,5.0
Apache,256,157.3,5.0
Apache,257,127.2,5.0
Apache,258,126.2,5.0
Apache,259,44961.9,6.0
Apache,260,44971.1,6.0
Apache,261,44952.6,6.0
Apache,262,44986.7,6.0
Apache,263,44961.8,6.0
Apache,264,125.7,4.0
Apache,265,131.2,4.0
Apache,266,128.5,4.0
Apache,267,118.5,4.0
Apache,268,106.3,4.0
Apache,269,135.9,4.0
Apache,270,129.5,5.0
Apache,271,138.6,5.0
Apache,272,151.8,5.0
Apache,273,182.1,5.0
Apache,274,136.1,5.0
Apache,275,125.2,5.0
Apache,276,141.4,5.0
Apache,277,159.6,5.0
Apache,278,140.9,5.0
Apache,279,129.5,5.0
Apache,280,124.0,5.0
Apache,281,168.4,5.0
Apache,282,179.5,5.0
Apache,283,141.6,5.0
Apache,284,138.9,5.0
Apache,285,152.3,5.0
Apache,286,130.3,5.0
Apache,287,120.5,5.0
Apache,288,129.8,5.0
Apache,289,143.3,5.0
Apache,290,123.1,5.0
Apache,291,169.1,5.0
Apache,292,145.8,5.0
Apache,293,129.9,5.0
Apache,294,167.2,5.0
Apache,295,131.7,5.0
Apache,296,140.9,5.0
Apache,297,141.8,5.0
Apache,298,167.0,5.0
Apache,299,157.5,5.0
Apache,300,169.6,5.0
Apache,301,144.8,6.0
Apache,302,147.2,6.0
Apache,303,142.0,7.0
Apache,304,131.3,7.5
Apache,305,126.7,8.0
Apache,306,121.0,9.0
Apache,307,118.5,9.0
Apache,308,120.2,10.0
Apache,309,120.5,11.0
Apache,310,120.5,11.0
Apache,311,120.8,12.0
Apache,312,126.4,12.0
Apache,313,121.9,13.0
Apache,314,122.0,13.5
Apache,315,125.3,14.0
Apache,316,125.0,14.0
Apache,317,118.2,15.0
Apache,318,119.6,16.0
Apache,319,116.8,16.0
Apache,320,119.2,17.0
Apache,321,117.0,17.0
Apache,322,126.2,18.5
Apache,323,123.4,18.5
Apache,324,3111.4,20.0
Apache,325,3115.0,20.0
Apache,326,3104.0,20.5
Apache,327,129.3,21.0
Apache,328,131.0,21.5
Apache,329,120.2,21.5
Apache,330,121.7,22.0
Apache,331,118.8,23.5
Apache,332,120.2,24.0
Apache,333,126.9,24.0
Apache,334,118.7,25.0
Apache,335,122.7,25.5
Apache,336,120.8,26.0
Apache,337,123.6,27.0
Apache,338,119.7,28.0
Apache,339,118.1,28.0
Apache,340,124.2,28.5
Apache,341,119.4,29.0
Apache,342,117.7,30.0
Apache,343,116.4,30.0
Apache,344,121.0,31.0
Apache,345,120.3,31.0
Apache,346,124.7,32.0
Apache,347,117.6,33.0
Apache,348,119.0,33.0
Apache,349,121.3,34.0
Apache,350,117.7,34.0
Apache,351,119.2,35.0
Apache,352,118.8,35.0
Apache,353,121.8,36.0
Apache,354,127.1,36.0
Apache,355,127.4,38.0
Apache,356,122.1,38.0
Apache,357,120.6,38.5
Apache,358,117.3,39.0
Apache,359,118.7,39.0
Apache,360,118.9,40.0
Apache,361,121.2,40.0
Apache,362,120.2,40.0
Apache,363,123.3,40.0
Apache,364,124.3,40.0
Apache,365,122.5,40.0
Apache,366,132.1,40.0
Apache,367,127.9,40.0
Apache,368,124.8,40.0
Apache,369,122.4,40.0
Apache,370,125.5,40.0
Apache,371,127.5,40.0
Apache,372,120.9,40.0
Apache,373,124.1,40.0
Apache,374,123.1,40.0
Apache,375,124.6,40.0
Apache,376,121.7,40.0
Apache,377,123.9,40.0
Apache,378,133.1,40.0
Apache,379,129.2,40.0
Apache,380,134.9,40.0
Apache,381,124.1,40.0
Apache,382,126.1,40.0
Apache,383,125.0,40.0
Apache,384,121.3,40.0
Apache,385,119.4,40.0
Apache,386,123.6,41.0
Apache,387,124.4,40.0
Apache,388,126.4,40.0
Apache,389,128.6,40.0
Apache,390,127.4,39.5
Apache,391,123.3,40.0
Apache,392,121.5,40.0
Apache,393,121.3,40.0
Apache,394,118.2,40.0
Apache,395,119.7,40.0
Apache,396,121.6,40.0
Apache,397,127.0,40.0
Apache,398,123.6,40.0
Apache,399,120.6,40.0
Apache,400,115.8,40.5
Apache,401,117.7,40.0
Apache,402,119.7,40.0
Apache,403,121.5,40.0
Apache,404,122.5,40.0
Apache,405,124.8,40.0
Apache,406,124.0,40.0
Apache,407,117.0,40.0
Apache,408,120.1,40.0
Apache,409,119.9,40.0
Apache,410,114.4,40.0
Apache,411,114.9,40.0
Apache,412,115.4,40.0
Apache,413,116.7,40.0
Apache,414,120.0,40.0
Apache,415,121.2,40.0
Apache,416,116.1,40.0
Apache,417,121.8,40.0
Apache,418,117.0,40.0
Apache,419,125.0,40.0
Apache,420,117.6,39.5
Apache,421,120.8,40.0
Apache,422,120.7,40.0
Apache,423,126.0,40.0
Apache,424,114.6,40.5
Apache,425,120.2,40.0
Apache,426,120.0,40.0
Apache,427,117.9,40.0
Apache,428,119.8,40.0
Apache,429,124.7,40.0
Apache,430,119.5,40.0
Apache,431,126.3,40.0
Apache,432,122.7,40.0
Apache,433,118.5,40.0
Apache,434,117.7,40.0
Apache,435,117.5,40.0
Apache,436,122.4,40.0
Apache,437,120.1,40.0
Apache,438,117.9,40.5
Apache,439,122.7,40.0
Apache,440,123.6,40.0
Apache,441,123.6,39.5
Apache,442,126.3,40.0
Apache,443,118.4,40.0
Apache,444,116.5,40.0
Apache,445,124.4,40.0
Apache,446,124.2,40.0
Apache,447,123.4,40.0
Apache,448,123.5,41.0
Apache,449,126.2,39.0
Apache,450,116.3,40.0
Apache,451,123.0,39.5
Apache,452,122.7,40.0
Apache,453,124.8,40.0
Apache,454,123.7,40.0
Apache,455,117.1,40.0
Apache,456,119.8,40.0
Apache,457,122.1,40.0
Apache,458,122.7,40.0
Apache,459,123.4,40.0
Apache,460,115.9,40.0
Apache,461,120.3,40.0
Apache,462,121.6,40.0
Apache,463,117.6,40.0
Apache,464,121.5,40.0
Apache,465,120.8,40.0
Apache,466,117.6,40.0
Apache,467,122.1,40.0
Apache,468,119.8,40.0
Apache,469,119.0,40.0
Apache,470,122.6,40.0
Apache,471,120.7,40.0
Apache,472,117.3,40.0
Apache,473,117.7,40.0
Apache,474,120.3,40.0
Apache,475,125.1,40.0
Apache,476,121.1,40.0
Apache,477,121.8,40.0
Apache,478,123.2,40.0
Apache,479,117.6,40.0
Apache,480,118.0,40.0
Apache,481,117.4,40.0
Apache,482,119.7,40.0
Apache,483,120.7,40.0
Apache,484,121.1,40.0
Apache,485,125.0,40.0
Apache,486,121.6,40.0
Apache,487,116.2,40.0
Apache,488,121.6,40.0
Apache,489,118.0,40.0
Apache,490,115.8,40.0
Apache,491,118.9,40.0
Apache,492,116.1,40.0
Apache,493,124.9,40.0
Apache,494,121.1,40.0
Apache,495,120.3,40.0
Apache,496,129.0,41.0
Apache,497,123.9,40.0
Apache,498,119.2,40.0
Apache,499,123.6,40.0
Apache,500,120.0,40.0
Apache,501,119.5,40.0
Apache,502,117.1,40.0
Apache,503,123.5,40.0
Apache,504,116.9,40.0
Apache,505,125.8,40.0
Apache,506,122.0,40.5
Apache,507,124.3,40.0
Apache,508,121.1,40.0
Apache,509,122.7,40.0
Apache,510,125.4,41.0
Apache,511,123.3,39.5
Apache,512,117.6,40.0
Apache,513,121.4,40.0
Apache,514,124.0,40.0
Apache,515,121.6,40.0
Apache,516,121.7,40.0
Apache,517,117.0,40.0
Apache,518,121.6,40.0
Apache,519,122.9,40.0
Apache,520,117.0,40.0
Apache,521,117.4,40.0
Apache,522,122.7,40.0
Apache,523,118.8,40.0
Apache,524,124.1,40.0
Apache,525,119.0,40.0
Apache,526,121.6,40.0
Apache,527,127.0,40.0
Apache,528,126.9,40.0
Apache,529,120.1,40.0
Apache,530,115.4,40.0
Apache,531,122.4,40.0
Apache,532,122.1,40.0
Apache,533,119.8,40.0
Apache,534,122.5,40.0
Apache,535,123.4,40.0
Apache,536,124.6,40.5
Apache,537,119.2,40.0
Apache,538,121.9,40.0
Apache,539,123.1,39.5
Apache,540,121.8,40.0
Apache,541,117.4,40.0
Apache,542,117.9,40.0
Apache,543,120.6,40.0
Apache,544,118.1,40.0
Apache,545,122.5,40.0
Apache,546,120.4,40.0
Apache,547,121.7,40.0
Apache,548,122.6,40.0
Apache,549,120.9,40.0
Apache,550,118.7,40.0
Apache,551,123.9,40.0
Apache,552,118.1,40.0
Apache,553,117.8,40.0
Apache,554,117.4,40.0
Apache,555,126.5,40.0
Apache,556,125.7,40.0
Apache,557,126.7,40.0
Apache,558,122.3,40.0
Apache,559,122.9,40.0
Apache,560,114.9,40.0
Apache,561,122.7,40.0
Apache,562,118.5,40.0
Apache,563,122.1,40.0
Apache,564,126.5,40.0
Apache,565,119.6,40.0
Apache,566,119.5,40.5
Apache,567,123.9,40.0
Apache,568,126.2,40.0
Apache,569,128.5,40.5
Apache,570,129.1,40.0
Apache,571,121.6,40.0
Apache,572,125.2,40.0
Apache,573,121.9,40.0
Apache,574,122.1,40.0
Apache,575,123.2,40.0
Apache,576,116.5,39.5
Apache,577,121.9,40.5
Apache,578,123.0,40.0
Apache,579,126.0,40.0
Apache,580,122.9,40.0
Apache,581,122.4,40.0
Apache,582,118.9,40.0
Apache,583,122.5,40.0
Apache,584,117.4,40.0
Apache,585,120.7,40.0
Apache,586,119.7,40.0
Apache,587,118.9,40.0
Apache,588,118.1,40.0
Apache,589,122.2,40.0
Apache,590,118.2,40.0
Apache,591,118.1,40.0
Apache,592,123.6,40.0
Apache,593,117.5,40.0
Apache,594,117.7,40.0
Apache,595,118.0,40.0
Apache,596,119.9,40.0
Apache,597,121.7,40.0
Apache,598,118.1,40.0
Apache,599,120.4,40.0
Apache,600,117.7,40.0
Apache,601,114.6,40.0
Apache,602,121.3,40.0
Apache,603,120.4,40.0
Apache,604,117.4,40.0
Apache,605,121.2,39.5
Apache,606,118.5,40.0
Apache,607,120.5,40.0
Apache,608,124.8,40.0
Apache,609,117.3,40.0
Apache,610,118.2,40.0
Apache,611,117.8,40.0
Apache,612,123.3,40.0
Apache,613,120.2,40.0
Apache,614,123.1,40.0
Apache,615,121.0,40.0
Apache,616,117.7,40.0
Apache,617,124.1,40.0
Apache,618,121.4,40.0
Apache,619,130.1,40.0
Apache,620,122.2,40.0
Apache,621,115.2,40.0
Apache,622,120.0,40.0
Apache,623,118.9,40.0
Apache,624,124.6,40.0
Apache,625,121.7,40.0
Apache,626,118.8,40.0
Apache,627,117.7,40.0
Apache,628,119.1,40.0
Apache,629,122.4,40.0
Apache,630,123.9,40.0
Apache,631,120.3,40.0
Apache,632,124.7,39.5
Apache,633,117.7,40.0
Apache,634,117.9,40.0
Apache,635,122.9,40.0
Apache,636,114.7,40.0
Apache,637,121.1,40.0
Apache,638,120.5,40.0
Apache,639,121.0,40.0
Apache,640,119.2,40.0
Apache,641,123.3,40.0
Apache,642,123.0,40.0
Apache,643,121.3,40.0
Apache,644,122.0,40.0
Apache,645,116.0,40.0
Apache,646,119.3,40.0
Apache,647,117.8,40.0
Apache,648,120.1,40.0
Apache,649,121.7,40.0
Apache,650,117.8,40.0
Apache,651,116.4,40.0
Apache,652,120.5,40.0
Apache,653,117.5,40.0
Apache,654,123.9,40.0
Apache,655,122.8,40.0
Apache,656,116.4,40.0
Apache,657,115.6,40.0
Apache,658,119.7,40.0
Apache,659,131.1,40.0
Apache,660,121.7,40.0
Apache,661,125.5,40.0
Apache,662,123.0,40.0
Apache,663,118.8,40.0
Apache,664,121.9,40.0
Apache,665,119.1,40.0
Apache,666,118.6,40.0
Apache,667,121.4,40.0
Apache,668,124.0,40.0
Apache,669,123.5,40.0
Apache,670,118.8,40.0
Apache,671,121.1,40.0
Apache,672,120.3,40.0
Apache,673,114.3,40.0
Apache,674,122.4,40.0
Apache,675,117.3,40.0
Apache,676,119.1,40.0
Apache,677,123.5,41.0
Apache,678,120.2,40.0
Apache,679,119.1,40.0
Apache,680,120.9,40.0
Apache,681,123.8,39.5
Apache,682,120.4,40.5
Apache,683,123.9,40.0
Apache,684,126.4,40.0
Apache,685,120.2,40.0
Apache,686,122.7,40.0
Apache,687,119.6,40.5
Apache,688,118.2,40.0
Apache,689,123.3,40.0
Apache,690,122.4,40.0
Apache,691,122.8,40.0
Apache,692,127.1,40.0
Apache,693,126.8,39.5
Apache,694,122.6,40.0
Apache,695,125.2,40.0
Apache,696,119.4,40.0
Apache,697,117.0,40.0
Apache,698,122.2,40.0
Apache,699,123.4,40.0
Apache,700,116.5,40.0
Apache,701,120.4,40.0
Apache,702,120.5,40.0
Apache,703,126.4,40.0
Apache,704,119.3,40.0
Apache,705,120.9,40.0
Apache,706,116.2,40.0
Apache,707,122.5,40.0
Apache,708,126.1,40.0
Apache,709,120.4,40.0
Apache,710,124.7,40.0
Apache,711,119.3,40.0
Apache,712,121.4,40.0
Apache,713,118.7,40.0
Apache,714,118.6,40.0
Apache,715,119.0,40.0
Apache,716,119.0,40.0
Apache,717,117.6,40.0
Apache,718,118.3,40.0
Apache,719,126.1,40.0
Apache,720,122.8,40.0
Apache,721,115.2,40.0
Apache,722,117.2,40.0
Apache,723,116.4,40.0
Apache,724,127.1,40.0
Apache,725,118.6,40.0
Apache,726,111.2,40.0
Apache,727,118.5,40.0
Apache,728,120.4,40.0
Apache,729,120.0,40.0
Apache,730,128.9,40.0
Apache,731,116.2,40.0
Apache,732,116.2,40.0
Apache,733,123.5,40.0
Apache,734,117.9,40.0
Apache,735,117.7,40.0
Apache,736,117.8,40.0
Apache,737,116.5,40.0
Apache,738,128.5,40.0
Apache,739,122.5,40.0
Apache,740,121.2,40.0
Apache,741,118.0,40.0
Apache,742,119.7,40.0
Apache,743,119.2,40.0
Apache,744,127.5,40.0
Apache,745,129.0,40.0
Apache,746,119.3,40.0
Apache,747,116.5,40.0
Apache,748,125.7,39.5
Apache,749,117.0,40.0
Apache,750,119.6,40.0
Apache,751,123.3,40.0
Apache,752,123.0,40.0
Apache,753,125.1,40.5
Apache,754,123.7,40.0
Apache,755,115.4,40.0
Apache,756,116.3,40.0
Apache,757,115.6,40.0
Apache,758,118.0,40.0
Apache,759,117.6,40.0
Apache,760,116.1,40.0
Apache,761,114.5,40.0
Apache,762,117.3,40.0
Apache,763,126.3,40.0
Apache,764,123.3,40.0
Apache,765,130.1,40.0
Apache,766,125.2,40.0
Apache,767,120.5,40.0
Apache,768,124.8,40.0
Apache,769,115.4,40.0
Apache,770,115.0,40.0
Apache,771,122.4,40.0
Apache,772,119.7,40.0
Apache,773,118.2,40.0
Apache,774,121.1,40.0
Apache,775,120.6,40.0
Apache,776,116.0,40.0
Apache,777,117.0,40.0
Apache,778,126.3,40.0
Apache,779,126.9,40.0
Apache,780,124.2,40.0
Apache,781,121.1,40.0
Apache,782,119.6,40.0
Apache,783,120.4,40.0
Apache,784,116.0,40.0
Apache,785,117.5,40.0
Apache,786,117.6,40.0
Apache,787,114.8,40.0
Apache,788,116.7,40.0
Apache,789,115.0,40.0
Apache,790,119.0,40.0
Apache,791,119.5,40.0
Apache,792,122.3,40.0
Apache,793,122.8,40.0
Apache,794,118.3,40.0
Apache,795,117.8,40.0
Apache,796,125.3,40.0
Apache,797,119.6,40.0
Apache,798,123.8,40.0
Apache,799,133.2,40.0
Apache,800,118.7,40.0
Apache,801,121.5,40.0
Apache,802,118.8,40.0
Apache,803,118.7,40.0
Apache,804,120.8,40.0
Apache,805,122.5,40.0
Apache,806,125.3,40.0
Apache,807,120.3,40.0
Apache,808,133.0,40.0
Apache,809,121.2,40.0
Apache,810,124.2,40.0
Apache,811,127.1,40.0
Apache,812,129.5,40.0
Apache,813,121.5,40.0
Apache,814,125.7,40.0
Apache,815,120.5,40.0
Apache,816,120.0,40.0
Apache,817,118.8,40.0
Apache,818,122.8,40.0
Apache,819,120.6,40.0
Apache,820,119.4,40.0
Apache,821,120.0,40.0
Apache,822,115.4,40.0
Apache,823,126.8,40.0
Apache,824,125.0,40.0
Apache,825,128.6,40.0
Apache,826,124.2,40.0
Apache,827,116.7,40.0
Apache,828,120.7,40.0
Apache,829,119.1,40.0
Apache,830,116.2,40.0
Apache,831,113.7,40.0
Apache,832,116.4,40.0
Apache,833,117.9,40.0
Apache,834,121.5,40.0
Apache,835,120.0,40.0
Apache,836,111.6,40.0
Apache,837,115.5,40.0
Apache,838,118.0,40.0
Apache,839,117.5,40.0
Apache,840,120.4,40.0
Apache,841,116.1,39.5
Apache,842,114.6,40.0
Apache,843,120.6,40.0
Apache,844,119.6,40.0
Apache,845,115.9,40.0
Apache,846,123.1,40.0
Apache,847,112.0,40.0
Apache,848,118.2,40.0
Apache,849,116.7,40.0
Apache,850,119.5,40.0
Apache,851,120.7,40.0
Apache,852,120.1,40.0
Apache,853,123.1,40.0
Apache,854,114.1,40.0
Apache,855,115.7,40.0
Apache,856,118.3,40.0
Apache,857,116.2,40.0
Apache,858,124.4,40.0
Apache,859,125.8,39.5
Apache,860,116.9,40.0
Apache,861,113.1,40.0
Apache,862,119.4,40.0
Apache,863,118.6,40.0
Apache,864,118.7,39.5
Apache,865,123.5,40.0
Apache,866,123.4,40.0
Apache,867,115.8,40.0
Apache,868,116.7,40.0
Apache,869,120.8,40.0
Apache,870,116.5,40.0
Apache,871,123.2,40.0
Apache,872,121.7,40.0
Apache,873,126.9,40.0
Apache,874,122.6,39.5
Apache,875,115.2,41.0
Apache,876,114.3,40.0
Apache,877,118.2,39.5
Apache,878,114.7,40.0
Apache,879,115.4,40.0
Apache,880,123.0,40.0
Apache,881,120.0,40.0
Apache,882,120.2,40.0
Apache,883,122.6,40.0
Apache,884,121.2,40.0
Apache,885,122.1,40.0
Apache,886,118.1,40.0
Apache,887,124.7,40.0
Apache,888,112.3,40.0
Apache,889,115.5,39.0
Apache,890,114.2,40.0
Apache,891,116.5,40.0
Apache,892,113.4,40.0
Apache,893,113.5,40.0
Apache,894,116.0,40.0
Apache,895,115.8,40.0
Apache,896,117.5,40.0
Apache,897,120.6,40.0
Apache,898,117.1,40.0
Apache,899,125.9,40.0
Apache,900,120.9,40.0
Apache,901,121.2,40.0
Apache,902,117.8,40.0
Apache,903,114.3,40.0
Apache,904,117.8,40.0
Apache,905,116.6,40.0
Apache,906,112.7,40.0
Apache,907,113.4,40.0
Apache,908,123.6,40.0
Apache,909,114.3,40.0
Apache,910,119.0,40.0
Apache,911,122.7,40.0
Apache,912,119.0,40.0
Apache,913,114.6,40.0
Apache,914,120.6,40.0
Apache,915,116.0,40.0
Apache,916,122.3,40.0
Apache,917,119.5,40.0
Apache,918,119.5,40.0
Apache,919,121.7,40.0
Apache,920,120.2,40.0
Apache,921,120.6,39.5
Apache,922,119.5,40.0
Apache,923,120.6,40.0
Apache,924,119.6,40.0
Apache,925,115.7,40.0
Apache,926,114.6,40.0
Apache,927,119.1,40.0
Apache,928,117.5,40.0
Apache,929,119.9,40.0
Apache,930,114.2,40.0
Apache,931,114.3,40.0
Apache,932,117.9,40.0
Apache,933,118.3,40.0
Apache,934,126.0,40.5
Apache,935,120.4,40.0
Apache,936,118.8,40.0
Apache,937,117.8,40.0
Apache,938,115.3,40.0
Apache,939,119.3,40.0
Apache,940,115.2,40.0
Apache,941,122.9,40.0
Apache,942,123.4,40.0
Apache,943,120.9,40.0
Apache,944,117.5,40.0
Apache,945,121.3,40.0
Apache,946,118.8,40.0
Apache,947,121.6,39.5
Apache,948,119.3,40.0
Apache,949,118.1,40.0
Apache,950,116.6,40.0
Apache,951,114.6,40.0
Apache,952,116.3,40.0
Apache,953,116.3,40.0
Apache,954,120.0,40.0
Apache,955,128.8,40.0
Apache,956,120.9,40.0
Apache,957,126.9,40.0
Apache,958,119.7,40.0
Apache,959,119.3,40.0
Apache,960,122.0,40.0
Apache,961,122.9,39.5
Apache,962,121.0,38.0
Apache,963,115.2,38.0
Apache,964,122.4,38.0
Apache,965,120.2,37.0
Apache,966,118.3,36.0
Apache,967,119.8,36.0
Apache,968,123.5,35.5
Apache,969,122.8,34.0
Apache,970,124.0,34.0
Apache,971,113.1,33.0
Apache,972,118.5,33.0
Apache,973,114.4,32.5
Apache,974,118.0,32.0
Apache,975,120.3,31.0
Apache,976,121.1,30.5
Apache,977,116.2,30.0
Apache,978,116.6,29.0
Apache,979,125.9,29.0
Apache,980,130.0,28.0
Apache,981,118.3,27.5
Apache,982,115.1,27.0
Apache,983,117.2,26.0
Apache,984,123.5,26.0
Apache,985,118.3,25.0
Apache,986,119.2,25.0
Apache,987,121.9,24.0
Apache,988,122.0,23.0
Apache,989,120.8,23.0
Apache,990,118.1,22.0
Apache,991,116.6,22.0
Apache,992,119.4,21.0
Apache,993,117.5,21.0
Apache,994,140.6,20.0
Apache,995,122.4,20.0
